date,age,number,ages
2022-04-01,age25_44,885,Aged 25 to 44
2022-04-01,age45_64,381,Aged 45 to 64
2022-04-01,age65over,33,Over 65
2022-05-01,ageunder16,655,Under 16
2022-05-01,age16_24,355,Aged 16 to 24
2022-05-01,age25_44,929,Aged 25 to 44
2022-05-01,age45_64,402,Aged 45 to 64
2022-05-01,age65over,38,Over 65
2022-06-01,ageunder16,675,Under 16
2022-06-01,age16_24,360,Aged 16 to 24
2022-06-01,age25_44,977,Aged 25 to 44
2022-06-01,age45_64,398,Aged 45 to 64
2022-06-01,age65over,39,Over 65
2022-07-01,ageunder16,696,Under 16
2022-07-01,age16_24,374,Aged 16 to 24
2022-07-01,age25_44,1113,Aged 25 to 44
2022-07-01,age45_64,416,Aged 45 to 64
2022-07-01,age65over,39,Over 65
2022-08-01,ageunder16,699,Under 16
2022-08-01,age16_24,379,Aged 16 to 24
2022-08-01,age25_44,1252,Aged 25 to 44
2022-08-01,age45_64,445,Aged 45 to 64
2022-08-01,age65over,38,Over 65
2022-09-01,ageunder16,702,Under 16
2022-09-01,age16_24,413,Aged 16 to 24
2022-09-01,age25_44,1359,Aged 25 to 44
2022-09-01,age45_64,460,Aged 45 to 64
2022-09-01,age65over,42,Over 65
2022-10-01,ageunder16,728,Under 16
2022-10-01,age16_24,425,Aged 16 to 24
2022-10-01,age25_44,1443,Aged 25 to 44
2022-10-01,age45_64,468,Aged 45 to 64
2022-10-01,age65over,45,Over 65
2022-11-01,ageunder16,717,Under 16
2022-11-01,age16_24,437,Aged 16 to 24
2022-11-01,age25_44,1495,Aged 25 to 44
2022-11-01,age45_64,489,Aged 45 to 64
2022-11-01,age65over,47,Over 65
2022-12-01,ageunder16,803,Under 16
2022-12-01,age16_24,497,Aged 16 to 24
2022-12-01,age25_44,1677,Aged 25 to 44
2022-12-01,age45_64,507,Aged 45 to 64
2022-12-01,age65over,46,Over 65
